Revenue,Margin,Orders,Units,Recency
7492,2894.0,5,6,1179
1473,466.0,1,1,606
6676,890.0,2,7,663
1945,378.0,1,1,672
8672,3222.0,8,9,1176
66917,19471.0,24,93,1159
1004,219.0,1,1,621
31158,12179.0,8,22,3860
25743,12244.0,4,18,3281
1898,761.0,1,1,650
2043,662.0,1,2,658
1112,245.0,1,1,602
1402,453.0,1,1,607
1825,894.0,1,1,647
1945,378.0,1,1,629
1749,397.0,1,1,665
861,153.0,1,1,608
2459,261.0,1,2,679
2313,314.0,1,1,620
4928,1940.0,1,3,979
1303,377.0,1,1,602
337,88.0,1,1,641
2236,381.0,1,1,615
1036,376.0,1,1,618
8128,1493.0,2,12,1159
802,0.0,1,1,598
26825,9090.0,2,16,1114
730,38.0,1,1,635
1760,289.0,1,1,616
95872,33892.0,3,52,1154
44872,18908.0,9,35,4814
1327,158.0,1,2,637
97281,15090.0,2,77,1142
1081,322.0,1,1,653
2925,584.0,2,2,1197
1078,45.0,1,2,612
1078,256.0,1,1,635
1841,692.0,1,1,629
2958,599.0,1,5,629
1279,205.0,1,2,675
1251,327.0,1,1,621
