Company Name,Revenue,Margin,Orders,Units,Recency
Customer10508,1599,475,1,1,640
Customer10509,1905,947,1,1,651
Customer1051,22045,5096,7,21,4043
Customer10510,783,212,1,1,633
Customer10511,1080,65,2,4,1173
Customer10512,11598,3359,3,9,1194
Customer10513,3902,1020,3,3,1226
Customer10514,2638,530,1,2,636
Customer10515,1328,297,1,1,606
Customer10516,1296,86,1,1,606
Customer10517,1376,346,1,1,629
Customer10518,1945,474,1,1,686
Customer10519,2713,583,1,3,677
Customer1052,23041,2383,4,24,2661
Customer10520,1000,15,1,1,634
Customer10521,981,371,1,1,606
Customer10522,4185,1124,3,4,1150
Customer10523,4694,1309,3,3,1135
Customer10524,583,61,1,1,607
Customer10525,1883,526,1,1,686
Customer10526,3966,824,3,4,638
Customer10527,1509,502,1,1,619
Customer10528,1205,403,1,1,632
Customer10529,2349,149,1,6,606
Customer1053,2070,36,1,4,1015
Customer10530,17368,0,1,12,599
Customer10531,2078,398,2,2,1152
Customer10532,2210,810,1,2,679
Customer10533,561,78,1,1,616
Customer10534,1524,704,1,1,655
Customer10535,3725,1502,2,2,640
Customer10536,9512,2943,5,7,1211
Customer10537,2177,515,2,3,1127
Customer10538,1543,432,1,1,606
Customer10539,1031,298,1,1,684
Customer1054,2506,503,1,3,1046
Customer10540,1509,326,1,1,666
Customer10541,793,123,1,1,611
Customer10542,9109,2744,3,11,1200
Customer10543,3645,1476,1,2,602
Customer10544,2893,517,1,3,606
Customer10545,794,93,1,3,662
Customer10546,2805,723,2,3,636
Customer10547,1107,359,1,1,685
Customer10548,1899,583,1,1,627
Customer10549,3514,1259,2,3,683
Customer1055,989,299,1,1,1011
Customer10550,814,41,1,2,601
Customer10551,663,143,1,1,648
Customer10552,3628,766,1,4,612
Customer10553,1201,332,1,2,650
Customer10554,1251,426,1,1,670
Customer10555,4119,1019,2,4,645
Customer10556,1413,667,1,1,650
Customer10557,641,18,1,2,677
Customer10558,1110,382,1,1,675
Customer10559,29425,5362,1,63,650
Customer1056,660,80,1,1,972
Customer10560,10320,630,5,24,657
Customer10561,1013,310,1,1,622
Customer10562,2314,775,1,2,683
Customer10563,1380,51,1,1,642
Customer10564,13406,4315,2,18,1189
Customer10565,1751,242,1,1,614
Customer10566,901,271,1,1,656
Customer10567,951,133,1,1,602
Customer10568,2014,641,1,1,659
Customer10569,1611,362,1,1,686
Customer1057,1831,332,1,1,1001
